t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
29611,29639,28,48,1.7142857142857142,-31.467772916666668,118.32509999999999,109
29663,29683,20,34,1.7,-31.465683333333335,118.32705277777778,110
29847,29971,124,371,2.9919354838709675,-31.496734895833335,118.25956041666666,111
29975,30039,64,197,3.078125,-31.495774509803923,118.25959215686274,112
30091,30119,28,60,2.142857142857143,-31.496291666666668,118.26015833333334,113
30387,30475,88,278,3.159090909090909,-31.564985507246384,118.20217101449275,114
30483,30503,20,65,3.25,-31.565058333333337,118.20257222222222,115
30523,30571,48,92,1.9166666666666667,-31.565384615384616,118.20258846153845,116
30683,30727,44,122,2.772727272727273,-31.588399999999996,118.1613388888889,117
30771,30803,32,43,1.34375,-31.59227592592593,118.15703888888889,118
31023,31043,20,62,3.1,-31.635102777777774,118.06320555555556,119
31263,31291,28,86,3.0714285714285716,-31.668206249999997,117.98400000000001,120
31431,31779,348,843,2.4224137931034484,-31.674076136363635,117.95534488636363,121
32003,32039,36,77,2.138888888888889,-31.705243333333335,117.84262666666666,122
32043,32067,24,50,2.0833333333333335,-31.70603333333333,117.8378857142857,123
32071,32151,80,116,1.45,-31.70727380952381,117.83881507936506,124
32287,32307,20,33,1.65,-31.72200833333333,117.77722222222222,125
32315,32343,28,37,1.3214285714285714,-31.720875,117.76797708333334,126
32579,32611,32,97,3.03125,-31.75545185185185,117.68432037037039,127
32727,32795,68,136,2.0,-31.76403518518519,117.65260925925928,128
32799,32867,68,113,1.661764705882353,-31.764775925925928,117.65299814814814,129
32875,32907,32,67,2.09375,-31.76406481481482,117.65312592592593,130
33135,33155,20,68,3.4,-31.777361111111105,117.61242499999999,131
33219,33243,24,54,2.25,-31.77857619047619,117.60123095238096,132
33247,33271,24,30,1.25,-31.77902142857143,117.59902857142856,133
33303,33351,48,66,1.375,-31.77801538461538,117.59847564102564,134
33363,33387,24,36,1.5,-31.776966666666663,117.59714285714286,135
33535,33567,32,78,2.4375,-31.784857407407408,117.53981111111109,136
33571,33603,32,76,2.375,-31.78469074074074,117.5397314814815,137
33647,33703,56,94,1.6785714285714286,-31.78175,117.53962555555557,138
33771,33815,44,69,1.5681818181818181,-31.779947222222223,117.53937777777777,139
33819,33843,24,35,1.4583333333333333,-31.77877380952381,117.53987619047619,140
33855,33875,20,35,1.75,-31.778391666666668,117.54014722222222,141
34455,34479,24,38,1.5833333333333333,-31.888673809523812,117.37569761904763,142
34795,34947,152,334,2.1973684210526314,-31.93428675213676,117.30517564102567,143
34951,34971,20,37,1.85,-31.93269722222222,117.3035,144
34975,35139,164,338,2.0609756097560976,-31.9323503968254,117.30157857142856,145
35143,35171,28,55,1.9642857142857142,-31.93211458333333,117.30209375,146
35371,35399,28,41,1.4642857142857142,-31.96092708333333,117.25202083333333,147
