lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg,bank_std_deg,bank_range_deg,bank_masd_deg
-32.51771358024691,117.06526851851852,4519.0,4545.0,2.771062271062222,72.04761904761777,26.0,66,,110.72624157046981,127.27454043725473,254.54908087450946,37.150465222641685,12.176623484283958,63.09741373548205,12.174460320124963
-32.51819935897436,117.06371794871794,4545.0,4570.0,2.3688888888889186,59.22222222222297,25.0,68,,109.78841486507157,121.34283972222126,242.6856794444425,38.00096210580682,6.485172002882434,25.46227015541831,5.394763264150369
-32.409279999999995,117.168878,5440.0,5464.0,2.71076923076923,65.05846153846151,24.0,70,,112.75180697705358,119.63338281960887,239.26676563921774,39.890063144611055,7.170117681958114,29.33180691672067,9.017469210924679
-32.408713793103445,117.16721896551725,5464.0,5492.0,3.0482758620689507,85.35172413793062,28.0,72,,107.87639825675201,133.53714908731558,267.07429817463117,34.4287491435369,9.645782273598112,38.40042826310464,11.357864018352505
-32.40852345679012,117.16584444444446,5492.0,5518.0,3.3705738705738755,87.63492063492076,26.0,74,,105.19353351127133,120.91495606393502,241.82991212787005,35.74710366629543,6.159098153098511,25.00482163262465,6.999228007948806
-32.40877839506173,117.16479135802471,5518.0,5544.0,3.3473748473748537,87.0317460317462,26.0,76,,100.56396574722567,115.59348844040844,231.18697688081687,34.533452657366425,5.350624740705521,21.69582122998323,7.244131723010757
-32.40910833333333,117.16385641025643,5544.0,5569.0,2.8738461538461735,71.84615384615434,25.0,78,,103.81598203550755,114.7418521728502,229.4837043457004,36.457347029765806,5.482000542702692,24.31976344164589,5.094554470438866
-32.40953913043478,117.16344927536232,5569.0,5591.0,2.734189723320109,60.1521739130424,22.0,80,,103.56030386215686,100.72415385853922,201.44830771707845,39.9457959797499,4.536186776894405,16.586945935147924,4.790396129718742
-32.40963103448276,117.16303045977011,5591.0,5619.0,1.2339901477832222,34.55172413793022,28.0,82,,101.41670257302577,125.5408740956035,251.081748191207,32.797989282594465,13.94543856368655,49.41548070190251,10.939978664984842
-32.41021505376344,117.16099086021505,5619.0,5649.0,2.7495967741935363,82.4879032258061,30.0,84,,104.51273616568456,138.61432147356498,277.22864294712997,31.790915429313547,12.098540012890389,49.91384949548832,8.224630826998613
-32.4109935483871,117.15909892473117,5649.0,5679.0,1.8100806451612734,54.3024193548382,30.0,86,,104.06388296072416,138.01901142113093,276.03802284226185,31.68059776271188,12.039148135640165,53.17028550164409,9.719687784634024
-32.34057283950617,117.24671913580248,6165.0,6191.0,2.4053724053724506,62.53968253968372,26.0,88,,106.06175153760105,121.91293132917629,243.82586265835258,35.97069265982317,8.92315332704655,30.904009393688074,10.488823444919579
-32.34125,117.24655079365077,6191.0,6211.0,2.1727272727272515,43.45454545454503,20.0,90,,111.32083634175909,98.42922984952702,196.85845969905404,44.719974871973825,5.641302509334856,20.356008434817277,5.48044009967505
-32.341798000000004,117.246272,6211.0,6235.0,2.302307692307685,55.255384615384436,24.0,92,,106.6270326130841,113.1347953839538,226.2695907679076,38.323968024479846,7.116055349812599,31.57174123226284,7.709391646660506
-32.34212986111111,117.24653263888888,6273.0,6296.0,1.5886956521738675,36.539999999998955,23.0,94,,104.5775661088681,106.33690038976499,212.67380077952998,38.97095789658217,7.04057702308133,26.66056128101774,8.918642253128953
-32.27758680555556,117.28701666666666,6625.0,6648.0,2.5947826086956227,59.679999999999325,23.0,96,,103.99913977490682,105.74874304640872,211.49748609281744,38.81566096600017,8.432036351918704,29.618356422667198,7.281508285708423
-32.27750256410257,117.28656730769231,6648.0,6673.0,1.3900854700855014,34.75213675213754,25.0,98,,104.80534336214481,115.83533651756046,231.67067303512093,36.717434541531624,6.929905503295361,32.88873018094052,9.445495329981865
-32.13591304347826,117.37939927536229,7361.0,7383.0,1.5563241106719252,34.23913043478235,22.0,100,,106.62941190325272,103.70920989846054,207.41841979692109,40.771479206605214,8.868732241117453,43.276133587174854,9.778757064277302
-32.134397101449274,117.37576884057971,7460.0,7482.0,1.1037549407114247,24.28260869565134,22.0,102,,100.67864935061235,97.92141765978974,195.84283531957948,39.15196175859345,6.877865968841175,23.80894399842457,8.520304381445772
-32.134643939393946,117.37497424242424,7482.0,7503.0,0.7854319593449797,16.494071146244572,21.0,104,,105.31277036503788,97.77277985006842,195.54555970013683,41.73985939767162,7.404183891541834,27.195856718685167,7.414197814087376
-32.13444375,117.37378680555555,7503.0,7526.0,2.11347826086958,48.61000000000034,23.0,106,,104.04610230867797,105.79649564251021,211.59299128502042,38.828294892602706,8.488630835009927,36.2905935509299,11.029509099433316
-32.13430057471265,117.37280459770115,7526.0,7554.0,1.5906403940886378,44.53793103448186,28.0,108,,99.54222644556305,123.22051299587669,246.44102599175338,32.313183174963186,13.595573223432464,57.69589304043256,17.203600117373433
