x_bin,count,mean,median,p95,x_mid
"[45.15,45.38)",1398.0,21.257510729613735,21.0,25.0,45.264804594440946
"[45.38,45.62)",1338.0,21.010463378176382,21.0,24.0,45.50117433122654
"[45.62,45.86)",1184.0,20.852195945945947,21.0,25.0,45.73754406801213
"[45.86,46.09)",1108.0,20.57129963898917,20.0,24.0,45.97391380479772
"[46.09,46.33)",1016.0,20.5246062992126,20.0,24.0,46.210283541583316
"[46.33,46.56)",1065.0,20.372769953051645,20.0,24.0,46.446653278368906
"[46.56,46.80)",1002.0,20.283433133732537,20.0,24.0,46.6830230151545
"[46.80,47.04)",832.0,20.181490384615383,20.0,24.0,46.91939275194009
"[47.04,47.27)",878.0,20.1002277904328,20.0,24.0,47.155762488725685
"[47.27,47.51)",748.0,20.032085561497325,20.0,25.0,47.392132225511276
"[47.51,47.75)",722.0,19.86842105263158,20.0,24.0,47.628501962296866
"[47.75,47.98)",648.0,19.978395061728396,20.0,24.0,47.86487169908246
"[47.98,48.22)",635.0,19.533858267716536,20.0,23.0,48.101241435868054
"[48.22,48.46)",539.0,19.625231910946198,19.0,24.0,48.337611172653645
"[48.46,48.69)",580.0,19.5,19.0,24.0,48.573980909439236
"[48.69,48.93)",521.0,19.456813819577736,19.0,23.0,48.810350646224826
"[48.93,49.16)",489.0,19.339468302658485,19.0,23.0,49.046720383010424
"[49.16,49.40)",479.0,19.16910229645094,19.0,23.0,49.283090119796015
"[49.40,49.64)",409.0,19.271393643031786,19.0,23.0,49.519459856581605
"[49.64,49.87)",384.0,19.138020833333332,19.0,23.849999999999966,49.755829593367196
"[49.87,50.11)",370.0,18.643243243243244,18.5,22.55000000000001,49.99219933015279
"[50.11,50.35)",337.0,18.6973293768546,19.0,23.0,50.228569066938384
"[50.35,50.58)",301.0,18.64784053156146,18.0,23.0,50.464938803723975
"[50.58,50.82)",300.0,18.383333333333333,18.0,22.0,50.701308540509565
"[50.82,51.06)",275.0,18.483636363636364,18.0,23.0,50.93767827729516
"[51.06,51.29)",250.0,18.124,18.0,22.0,51.17404801408075
"[51.29,51.53)",241.0,18.38589211618257,18.0,22.0,51.410417750866344
"[51.53,51.76)",211.0,18.308056872037916,18.0,23.0,51.646787487651935
"[51.76,52.00)",182.0,17.934065934065934,18.0,22.0,51.88315722443753
"[52.00,52.24)",158.0,17.803797468354432,18.0,21.150000000000006,52.11952696122312
"[52.24,52.47)",138.0,17.91304347826087,18.0,22.0,52.35589669800871
"[52.47,52.71)",156.0,17.794871794871796,18.0,22.0,52.592266434794304
"[52.71,52.95)",135.0,17.562962962962963,17.0,22.0,52.8286361715799
"[52.95,53.18)",104.0,17.89423076923077,17.0,23.0,53.06500590836549
"[53.18,53.42)",102.0,17.401960784313726,17.0,22.0,53.30137564515108
"[53.42,53.66)",107.0,17.16822429906542,17.0,22.0,53.53774538193667
"[53.66,53.89)",96.0,17.458333333333332,17.0,21.0,53.77411511872227
"[53.89,54.13)",81.0,17.419753086419753,17.0,21.0,54.01048485550786
"[54.13,54.37)",74.0,17.06756756756757,17.0,21.0,54.24685459229345
"[54.37,54.60)",78.0,16.794871794871796,16.0,21.14999999999999,54.48322432907904
"[54.60,54.84)",56.0,17.035714285714285,17.0,20.5,54.71959406586464
"[54.84,55.07)",47.0,17.319148936170212,17.0,22.699999999999996,54.95596380265023
"[55.07,55.31)",57.0,16.94736842105263,17.0,21.199999999999996,55.19233353943582
"[55.31,55.55)",42.0,16.11904761904762,16.0,18.949999999999996,55.42870327622141
"[55.55,55.78)",47.0,17.085106382978722,17.0,21.0,55.66507301300701
"[55.78,56.02)",34.0,16.294117647058822,15.5,19.699999999999996,55.9014427497926
"[56.02,56.26)",29.0,16.79310344827586,16.0,21.599999999999998,56.13781248657819
"[56.26,56.49)",26.0,16.576923076923077,16.0,20.0,56.37418222336378
"[56.49,56.73)",19.0,16.0,16.0,18.199999999999996,56.61055196014938
"[56.73,56.97)",24.0,16.666666666666668,16.0,21.849999999999998,56.84692169693497
"[56.97,57.20)",13.0,16.615384615384617,16.0,21.0,57.08329143372056
"[57.20,57.44)",13.0,16.0,16.0,19.4,57.31966117050615
"[57.44,57.67)",10.0,15.3,15.5,18.0,57.55603090729175
"[57.67,57.91)",16.0,15.25,15.0,19.5,57.79240064407734
"[57.91,58.15)",12.0,14.583333333333334,14.5,16.0,58.02877038086293
"[58.15,58.38)",10.0,14.9,13.0,19.549999999999997,58.26514011764852
"[58.38,58.62)",9.0,15.333333333333334,16.0,17.6,58.50150985443412
"[58.62,58.86)",8.0,16.75,17.5,20.0,58.73787959121971
"[58.86,59.09)",9.0,16.0,16.0,20.6,58.9742493280053
"[59.09,59.33)",5.0,16.2,16.0,20.0,59.21061906479089
"[59.33,59.57)",9.0,14.333333333333334,13.0,18.799999999999997,59.44698880157649
"[59.57,59.80)",8.0,16.625,16.0,20.299999999999997,59.68335853836208
"[59.80,60.04)",3.0,16.0,16.0,16.9,59.91972827514767
"[60.04,60.27)",5.0,17.6,18.0,20.4,60.15609801193326
"[60.27,60.51)",3.0,15.333333333333334,13.0,19.3,60.39246774871886
"[60.51,60.75)",4.0,16.25,15.5,19.549999999999997,60.62883748550445
"[60.75,60.98)",2.0,16.5,16.5,20.55,60.86520722229004
"[60.98,61.22)",3.0,13.666666666666666,14.0,16.7,61.10157695907563
"[61.22,61.46)",5.0,15.2,16.0,17.0,61.33794669586123
"[61.46,61.69)",6.0,17.333333333333332,18.0,19.75,61.57431643264682
"[61.69,61.93)",2.0,11.5,11.5,14.65,61.81068616943241
"[61.93,62.17)",2.0,16.0,16.0,16.0,62.047055906218
"[62.17,62.40)",1.0,20.0,20.0,20.0,62.283425643003596
"[62.40,62.64)",2.0,16.0,16.0,17.8,62.51979537978919
"[62.64,62.87)",1.0,8.0,8.0,8.0,62.75616511657478
"[62.87,63.11)",,,,,62.99253485336037
"[63.11,63.35)",3.0,15.333333333333334,16.0,16.0,63.228904590145966
"[63.35,63.58)",,,,,63.46527432693156
"[63.58,63.82)",,,,,63.70164406371715
"[63.82,64.06)",1.0,16.0,16.0,16.0,63.93801380050274
"[64.06,64.29)",2.0,18.0,18.0,18.9,64.17438353728832
"[64.29,64.53)",,,,,64.41075327407393
"[64.53,64.77)",1.0,17.0,17.0,17.0,64.64712301085953
"[64.77,65.00)",,,,,64.8834927476451
"[65.00,65.24)",,,,,65.11986248443071
"[65.24,65.47)",1.0,15.0,15.0,15.0,65.35623222121629
"[65.47,65.71)",,,,,65.5926019580019
"[65.71,65.95)",1.0,16.0,16.0,16.0,65.82897169478747
"[65.95,66.18)",2.0,13.5,13.5,17.55,66.06534143157307
"[66.18,66.42)",,,,,66.30171116835865
"[66.42,66.66)",,,,,66.53808090514426
"[66.66,66.89)",1.0,14.0,14.0,14.0,66.77445064192986
"[66.89,67.13)",,,,,67.01082037871544
"[67.13,67.37)",1.0,14.0,14.0,14.0,67.24719011550104
"[67.37,67.60)",,,,,67.48355985228662
"[67.60,67.84)",,,,,67.71992958907222
"[67.84,68.07)",1.0,13.0,13.0,13.0,67.9562993258578
"[68.07,68.31)",,,,,68.1926690626434
"[68.31,68.55)",,,,,68.42903879942901
"[68.55,68.78)",1.0,9.0,9.0,9.0,68.66540853621458
"[68.78,69.02)",1.0,11.0,11.0,11.0,68.90177827300019
"[69.02,69.26)",2.0,12.5,12.5,12.95,69.13814800978577
