x_bin,count,mean,median,p95,x_mid
"[95.99,96.48)",3318.0,27.595539481615432,27.0,40.0,96.23669682167538
"[96.48,96.98)",3510.0,27.82877492877493,28.0,40.0,96.73148703669685
"[96.98,97.47)",3692.0,27.838569880823403,27.0,40.0,97.22627725171832
"[97.47,97.97)",3983.0,27.6269143861411,27.0,40.0,97.72106746673978
"[97.97,98.46)",3998.0,27.71185592796398,27.0,40.0,98.21585768176125
"[98.46,98.96)",4163.0,27.765553687244775,27.0,40.0,98.71064789678272
"[98.96,99.45)",4253.0,27.600987538208322,27.0,39.0,99.20543811180418
"[99.45,99.95)",4534.0,27.76532862814292,27.0,40.0,99.70022832682565
"[99.95,100.44)",4708.0,27.927357689039933,28.0,40.0,100.19501854184712
"[100.44,100.94)",4731.0,27.736419361657155,27.0,40.0,100.68980875686859
"[100.94,101.43)",4959.0,27.702561000201655,28.0,39.0,101.18459897189005
"[101.43,101.93)",5142.0,27.783352781019058,28.0,39.0,101.67938918691152
"[101.93,102.42)",5069.0,28.06273426711383,28.0,40.0,102.17417940193299
"[102.42,102.92)",5074.0,27.92845880961766,28.0,40.0,102.66896961695446
"[102.92,103.41)",4987.0,27.94064567876479,28.0,39.0,103.16375983197592
"[103.41,103.91)",5100.0,27.931960784313727,28.0,39.0,103.65855004699739
"[103.91,104.40)",5141.0,27.912468391363547,28.0,39.0,104.15334026201886
"[104.40,104.90)",5110.0,27.915264187866928,28.0,39.0,104.64813047704033
"[104.90,105.39)",5284.0,28.00889477668433,28.0,39.0,105.1429206920618
"[105.39,105.89)",5064.0,28.02981832543444,28.0,38.0,105.63771090708326
"[105.89,106.38)",5048.0,28.15649762282092,28.0,39.0,106.13250112210473
"[106.38,106.87)",5146.0,27.984842596191218,28.0,39.0,106.6272913371262
"[106.87,107.37)",5234.0,28.330913259457393,28.0,40.0,107.12208155214766
"[107.37,107.86)",5295.0,28.303871576959395,28.0,40.0,107.61687176716913
"[107.86,108.36)",5057.0,28.24164524421594,28.0,38.0,108.1116619821906
"[108.36,108.85)",5051.0,28.394773312215403,28.0,38.0,108.60645219721206
"[108.85,109.35)",5059.0,28.304407985767938,28.0,39.0,109.10124241223353
"[109.35,109.84)",5050.0,28.394851485148514,28.0,39.0,109.596032627255
"[109.84,110.34)",4885.0,28.42128966223132,28.0,39.0,110.09082284227647
"[110.34,110.83)",4845.0,28.403508771929825,28.0,38.0,110.58561305729793
"[110.83,111.33)",4642.0,28.501723395088323,28.0,39.0,111.0804032723194
"[111.33,111.82)",4798.0,28.463318049187162,28.0,38.0,111.57519348734087
"[111.82,112.32)",4791.0,28.542684199540805,28.0,38.0,112.06998370236234
"[112.32,112.81)",4714.0,28.68455663979635,28.0,39.0,112.5647739173838
"[112.81,113.31)",4679.0,28.67535798247489,28.0,38.0,113.05956413240527
"[113.31,113.80)",4306.0,28.327450069670228,28.0,37.0,113.55435434742674
"[113.80,114.30)",4354.0,28.50091869545246,28.0,37.0,114.0491445624482
"[114.30,114.79)",4349.0,28.43895148309956,28.0,37.0,114.54393477746967
"[114.79,115.29)",4239.0,28.438310922387355,28.0,37.0,115.03872499249114
"[115.29,115.78)",4074.0,28.350760922925872,28.0,37.0,115.53351520751261
"[115.78,116.28)",4073.0,28.554628038301008,28.0,37.0,116.02830542253407
"[116.28,116.77)",3940.0,28.383248730964468,28.0,36.0,116.52309563755554
"[116.77,117.27)",3854.0,28.61338868707836,28.0,36.0,117.01788585257701
"[117.27,117.76)",3816.0,28.57625786163522,28.0,36.0,117.51267606759848
"[117.76,118.25)",3792.0,28.645305907172997,28.0,36.0,118.00746628261994
"[118.25,118.75)",3633.0,28.6504266446463,28.0,36.0,118.50225649764141
"[118.75,119.24)",3520.0,28.60340909090909,28.0,36.0,118.99704671266288
"[119.24,119.74)",3506.0,28.47974900171135,28.0,36.0,119.49183692768435
"[119.74,120.23)",3273.0,28.464711274060495,28.0,36.0,119.98662714270581
"[120.23,120.73)",3308.0,28.427448609431682,28.0,36.0,120.48141735772728
"[120.73,121.22)",3315.0,28.579185520361992,28.0,36.0,120.97620757274875
"[121.22,121.72)",3057.0,28.681714098789662,28.0,36.0,121.47099778777022
"[121.72,122.21)",3034.0,28.861898483849703,28.0,36.0,121.96578800279168
"[122.21,122.71)",2952.0,28.614159891598916,28.0,36.0,122.46057821781315
"[122.71,123.20)",2923.0,28.671912418747862,28.0,36.0,122.95536843283462
"[123.20,123.70)",2819.0,28.49698474636396,28.0,36.0,123.45015864785609
"[123.70,124.19)",2779.0,28.67686218064052,28.0,36.0,123.94494886287755
"[124.19,124.69)",2672.0,28.631736526946106,28.0,36.0,124.43973907789902
"[124.69,125.18)",2586.0,28.613302397525135,28.0,36.0,124.93452929292049
"[125.18,125.68)",2353.0,28.533361665958353,28.0,36.0,125.42931950794195
"[125.68,126.17)",2131.0,27.57109338338808,28.0,34.0,125.92410972296342
"[126.17,126.67)",1947.0,27.689265536723163,28.0,34.0,126.41889993798489
"[126.67,127.16)",1923.0,27.704108164326573,28.0,34.0,126.91369015300636
"[127.16,127.66)",1876.0,27.571961620469082,28.0,34.0,127.40848036802782
"[127.66,128.15)",1749.0,27.71412235563179,28.0,34.0,127.90327058304929
"[128.15,128.65)",1718.0,27.636786961583237,28.0,34.0,128.39806079807076
"[128.65,129.14)",1592.0,27.606155778894472,28.0,34.0,128.89285101309224
"[129.14,129.64)",1539.0,27.619883040935672,28.0,33.0,129.3876412281137
"[129.64,130.13)",1483.0,27.51989211058665,28.0,33.0,129.88243144313515
"[130.13,130.62)",1400.0,27.337142857142858,28.0,33.0,130.37722165815663
"[130.62,131.12)",1294.0,27.356259659969087,28.0,33.0,130.8720118731781
"[131.12,131.61)",1267.0,27.505919494869772,28.0,33.0,131.36680208819956
"[131.61,132.11)",1169.0,27.174508126603936,28.0,33.0,131.86159230322102
"[132.11,132.60)",1124.0,27.404804270462634,28.0,33.0,132.3563825182425
"[132.60,133.10)",1075.0,27.37488372093023,28.0,33.0,132.85117273326398
"[133.10,133.59)",995.0,27.11457286432161,28.0,32.0,133.34596294828543
"[133.59,134.09)",936.0,27.06517094017094,28.0,32.0,133.84075316330689
"[134.09,134.58)",811.0,27.039457459926016,28.0,32.0,134.33554337832837
"[134.58,135.08)",791.0,27.02528445006321,28.0,32.0,134.83033359334985
"[135.08,135.57)",783.0,26.885057471264368,27.0,32.0,135.3251238083713
"[135.57,136.07)",700.0,27.13,28.0,32.0,135.81991402339276
"[136.07,136.56)",719.0,26.773296244784422,27.0,32.0,136.31470423841424
"[136.56,137.06)",617.0,26.53160453808752,27.0,32.0,136.80949445343572
"[137.06,137.55)",585.0,26.851282051282052,27.0,32.0,137.30428466845717
"[137.55,138.05)",525.0,26.38095238095238,27.0,32.0,137.79907488347862
"[138.05,138.54)",474.0,26.628691983122362,27.0,32.0,138.2938650985001
"[138.54,139.04)",452.0,26.643805309734514,27.0,32.0,138.7886553135216
"[139.04,139.53)",391.0,26.544757033248082,27.0,32.0,139.28344552854304
"[139.53,140.03)",355.0,26.43380281690141,27.0,32.0,139.7782357435645
"[140.03,140.52)",345.0,26.547826086956523,27.0,32.0,140.27302595858598
