x_bin,count,mean,median,std,p95,x_mid
"[16.07,16.31)",10.0,168.7120562662335,193.7138367845101,44.85497926374752,195.90585294628886,16.191326969813083
"[16.31,16.55)",14.0,179.30627011882126,186.7401489102349,22.76722289501376,198.99631564454322,16.427696706598674
"[16.55,16.78)",17.0,150.42412351367744,164.08361883877376,45.53861726944116,199.87688242265034,16.664066443384264
"[16.78,17.02)",14.0,175.63971056500762,177.59370472435558,16.87590776001553,191.3416113559767,16.900436180169862
"[17.02,17.25)",17.0,173.2805858389338,182.91431316748643,33.94342921111476,198.82175925091002,17.136805916955453
"[17.25,17.49)",20.0,172.28639266698477,179.23934954895657,24.561094604096965,194.90681840663098,17.373175653741043
"[17.49,17.73)",26.0,178.63102512891265,185.67741759189073,25.04057431967738,197.85668202619775,17.609545390526634
"[17.73,17.96)",23.0,181.89647614664125,184.58130547163728,18.484371356848357,199.85713968751259,17.84591512731223
"[17.96,18.20)",35.0,170.34193740905525,179.1529505985019,26.890054006699522,195.45674957534774,18.082284864097822
"[18.20,18.44)",37.0,178.8123942382928,189.37966353878156,21.726099589092364,198.11501569111977,18.318654600883413
"[18.44,18.67)",62.0,177.726423387984,191.10926657501875,26.024697993705303,199.2301439904177,18.555024337669003
"[18.67,18.91)",57.0,178.52803842000148,186.41209970572217,30.63183647412616,195.7714044792116,18.7913940744546
"[18.91,19.15)",68.0,183.94541807961116,189.64017618179716,17.83456616765313,198.0801855333411,19.02776381124019
"[19.15,19.38)",86.0,179.6796596907484,183.17496095835446,21.349995723744872,199.6129396660303,19.264133548025782
"[19.38,19.62)",61.0,177.6917519333825,179.04796360137772,18.932045483012235,195.33721907630505,19.500503284811373
"[19.62,19.86)",92.0,181.7046166807124,184.59161609609615,13.792463787786735,197.816158488512,19.73687302159697
"[19.86,20.09)",88.0,175.7016095158768,178.8358340108486,23.59405759992442,199.0469625837934,19.97324275838256
"[20.09,20.33)",89.0,177.7250723702555,177.77577533629426,15.795650594135969,194.13348194149404,20.20961249516815
"[20.33,20.56)",147.0,175.4402288351419,179.42256359581432,20.769139189533284,196.74882473183646,20.445982231953742
"[20.56,20.80)",153.0,179.14050224126882,181.9964626760803,17.752409626135165,199.14045160197063,20.68235196873934
"[20.80,21.04)",197.0,173.22473520660236,182.8597844100914,19.764800759007386,193.3275605809493,20.91872170552493
"[21.04,21.27)",198.0,175.76219380738246,185.2081549973637,19.824335972553456,195.3038996597962,21.15509144231052
"[21.27,21.51)",224.0,180.09235478584293,187.99684321283414,18.543220307538547,197.73273444440622,21.391461179096112
"[21.51,21.75)",306.0,176.5657904813441,182.0949370725332,18.758649008954546,199.23400319294052,21.62783091588171
"[21.75,21.98)",303.0,176.00295221438984,183.4045639990744,20.241100581161426,193.86664521168075,21.8642006526673
"[21.98,22.22)",382.0,178.21363634170757,178.8395133826161,18.18425743478629,196.29324897918184,22.10057038945289
"[22.22,22.46)",401.0,176.28457703565243,179.3319372147962,19.853191892343254,198.43848547097943,22.33694012623848
"[22.46,22.69)",399.0,172.68008348305221,173.10811660243755,21.342522596887893,199.659064116217,22.57330986302408
"[22.69,22.93)",380.0,168.80005816406418,167.71949338115144,16.938679117192578,193.6773725715769,22.80967959980967
"[22.93,23.16)",457.0,169.98021058904595,169.4765060942694,17.88088502982283,195.62493452421523,23.04604933659526
"[23.16,23.40)",493.0,171.62353730530126,171.32976865307526,18.117559578475674,197.85974854242977,23.28241907338085
