[circles-360-timecap-DEBUG2] Tow detected: 0→483. Excluding tow.
[circles-360-timecap-DEBUG2] Points after tow trim: 8147
[debug2] cadence ~ 3.000 s/fix, max_len_samples=600
[circles-360-timecap-DEBUG2] Attempts: 1605, Circles: 262
  CIRCLE: idx 5231->5238, samples 7, dur 21.0s, arc -335.2°
  CIRCLE: idx 5238->5245, samples 7, dur 21.0s, arc -345.4°
  CIRCLE: idx 5245->5252, samples 7, dur 21.0s, arc -350.4°
  CIRCLE: idx 5252->5259, samples 7, dur 21.0s, arc -336.2°
  CIRCLE: idx 5259->5267, samples 8, dur 24.0s, arc -373.7°
  CIRCLE: idx 5267->5275, samples 8, dur 24.0s, arc -371.6°
  CIRCLE: idx 5275->5282, samples 7, dur 21.0s, arc -333.8°
  CIRCLE: idx 5282->5290, samples 8, dur 24.0s, arc -369.0°
  CIRCLE: idx 5290->5298, samples 8, dur 24.0s, arc -368.0°
  CIRCLE: idx 5298->5306, samples 8, dur 24.0s, arc -365.5°
  CIRCLE: idx 5306->5314, samples 8, dur 24.0s, arc -347.7°
  CIRCLE: idx 5314->5322, samples 8, dur 24.0s, arc -337.0°
  CIRCLE: idx 5326->5336, samples 10, dur 30.0s, arc -344.6°
  CIRCLE: idx 5336->5344, samples 8, dur 24.0s, arc -350.0°
  CIRCLE: idx 5344->5352, samples 8, dur 24.0s, arc -352.6°
  CIRCLE: idx 5352->5360, samples 8, dur 24.0s, arc -348.1°
  CIRCLE: idx 5360->5369, samples 9, dur 27.0s, arc -360.0°
  CIRCLE: idx 5519->5530, samples 11, dur 33.0s, arc 335.1°
  CIRCLE: idx 5530->5539, samples 9, dur 27.0s, arc 355.1°
  CIRCLE: idx 5606->5618, samples 12, dur 36.0s, arc -335.6°
  CIRCLE: idx 5618->5629, samples 11, dur 33.0s, arc -386.6°
  CIRCLE: idx 5629->5638, samples 9, dur 27.0s, arc -361.5°
  CIRCLE: idx 5638->5645, samples 7, dur 21.0s, arc -332.3°
  CIRCLE: idx 5645->5652, samples 7, dur 21.0s, arc -339.2°
  CIRCLE: idx 5652->5659, samples 7, dur 21.0s, arc -339.9°
  CIRCLE: idx 5659->5667, samples 8, dur 24.0s, arc -382.5°
  CIRCLE: idx 5667->5675, samples 8, dur 24.0s, arc -371.9°
  CIRCLE: idx 5675->5683, samples 8, dur 24.0s, arc -336.4°
  CIRCLE: idx 5683->5691, samples 8, dur 24.0s, arc -340.2°
  CIRCLE: idx 5691->5699, samples 8, dur 24.0s, arc -334.9°
  CIRCLE: idx 5886->5897, samples 11, dur 33.0s, arc 363.2°
  CIRCLE: idx 5907->5915, samples 8, dur 24.0s, arc -370.8°
  CIRCLE: idx 5915->5923, samples 8, dur 24.0s, arc -353.6°
  CIRCLE: idx 5942->5950, samples 8, dur 24.0s, arc -333.8°
  CIRCLE: idx 5950->5959, samples 9, dur 27.0s, arc -355.8°
  CIRCLE: idx 5959->5967, samples 8, dur 24.0s, arc -370.5°
  CIRCLE: idx 5967->5974, samples 7, dur 21.0s, arc -331.8°
  CIRCLE: idx 5974->5981, samples 7, dur 21.0s, arc -332.0°
  CIRCLE: idx 5981->5988, samples 7, dur 21.0s, arc -333.8°
  CIRCLE: idx 5988->5995, samples 7, dur 21.0s, arc -337.3°
  CIRCLE: idx 5995->6003, samples 8, dur 24.0s, arc -365.1°
  CIRCLE: idx 6008->6017, samples 9, dur 27.0s, arc -349.2°
  CIRCLE: idx 6017->6025, samples 8, dur 24.0s, arc -371.5°
  CIRCLE: idx 6025->6033, samples 8, dur 24.0s, arc -348.3°
  CIRCLE: idx 6033->6041, samples 8, dur 24.0s, arc -356.8°
  CIRCLE: idx 6041->6049, samples 8, dur 24.0s, arc -358.2°
  CIRCLE: idx 6049->6057, samples 8, dur 24.0s, arc -358.3°
  CIRCLE: idx 6057->6065, samples 8, dur 24.0s, arc -345.7°
  CIRCLE: idx 6284->6293, samples 9, dur 27.0s, arc 333.6°
  CIRCLE: idx 6293->6302, samples 9, dur 27.0s, arc 364.5°
  CIRCLE: idx 6302->6311, samples 9, dur 27.0s, arc 334.3°
  CIRCLE: idx 6311->6321, samples 10, dur 30.0s, arc 332.6°
  CIRCLE: idx 6321->6330, samples 9, dur 27.0s, arc 356.7°
  CIRCLE: idx 6330->6339, samples 9, dur 27.0s, arc 342.7°
  CIRCLE: idx 6339->6349, samples 10, dur 30.0s, arc 341.4°
  CIRCLE: idx 6349->6359, samples 10, dur 30.0s, arc 339.3°
  CIRCLE: idx 6824->6835, samples 11, dur 33.0s, arc 350.5°
  CIRCLE: idx 6835->6843, samples 8, dur 24.0s, arc 344.8°
  CIRCLE: idx 6843->6851, samples 8, dur 24.0s, arc 338.7°
  CIRCLE: idx 6851->6859, samples 8, dur 24.0s, arc 358.2°
  CIRCLE: idx 6859->6867, samples 8, dur 24.0s, arc 354.9°
  CIRCLE: idx 6867->6875, samples 8, dur 24.0s, arc 347.7°
  CIRCLE: idx 6875->6883, samples 8, dur 24.0s, arc 336.7°
  CIRCLE: idx 6883->6891, samples 8, dur 24.0s, arc 352.2°
  CIRCLE: idx 6891->6900, samples 9, dur 27.0s, arc 359.8°
  CIRCLE: idx 6923->6935, samples 12, dur 36.0s, arc 383.7°
  CIRCLE: idx 6935->6943, samples 8, dur 24.0s, arc 346.0°
  CIRCLE: idx 6943->6951, samples 8, dur 24.0s, arc 351.7°
  CIRCLE: idx 6951->6960, samples 9, dur 27.0s, arc 376.2°
  CIRCLE: idx 6960->6969, samples 9, dur 27.0s, arc 372.4°
  CIRCLE: idx 6969->6977, samples 8, dur 24.0s, arc 348.3°
  CIRCLE: idx 6977->6986, samples 9, dur 27.0s, arc 365.2°
  CIRCLE: idx 7005->7015, samples 10, dur 30.0s, arc 346.8°
  CIRCLE: idx 7061->7069, samples 8, dur 24.0s, arc 340.3°
  CIRCLE: idx 7069->7077, samples 8, dur 24.0s, arc 358.6°
  CIRCLE: idx 7077->7085, samples 8, dur 24.0s, arc 358.1°
  CIRCLE: idx 7085->7093, samples 8, dur 24.0s, arc 352.6°
  CIRCLE: idx 7093->7101, samples 8, dur 24.0s, arc 360.3°
  CIRCLE: idx 7101->7109, samples 8, dur 24.0s, arc 347.4°
  CIRCLE: idx 7109->7117, samples 8, dur 24.0s, arc 371.1°
  CIRCLE: idx 7117->7125, samples 8, dur 24.0s, arc 360.0°
  CIRCLE: idx 7125->7133, samples 8, dur 24.0s, arc 352.6°
  CIRCLE: idx 7133->7142, samples 9, dur 27.0s, arc 333.2°
